title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
My Week,radio,科学,Science,Art,Music,timetable,homework,always,usually,often,sometimes,never,A,
,radio,美术,Science,Art,Music,timetable,homework,always,usually,often,sometimes,never,B,
,radio,音乐,Science,Art,Music,timetable,homework,always,usually,often,sometimes,never,C,
,radio,时间表,Science,Art,Music,timetable,homework,always,usually,often,sometimes,never,D,
,radio,功课,Science,Art,Music,timetable,homework,always,usually,often,sometimes,never,E,
,radio,总是,Science,Art,Music,timetable,homework,always,usually,often,sometimes,never,F,
,radio,通常,Science,Art,Music,timetable,homework,always,usually,often,sometimes,never,G,
,radio,时常,Science,Art,Music,timetable,homework,always,usually,often,sometimes,never,H,
,radio,有时候,Science,Art,Music,timetable,homework,always,usually,often,sometimes,never,I,
,radio,从不,Science,Art,Music,timetable,homework,always,usually,often,sometimes,never,J,
,radio,每日的,daily,routine,practice,activity,timetable,homework,always,usually,often,sometimes,A,
,radio,日常作息,daily,routine,practice,activity,timetable,homework,always,usually,often,sometimes,B,
,radio,练习,daily,routine,practice,activity,timetable,homework,always,usually,often,sometimes,C,
,radio,活动,daily,routine,practice,activity,timetable,homework,always,usually,often,sometimes,D,
,,,,,,,,,,,,,,
