title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Helping Out,radio,帮助,help,housework,clean,sweep,mop,wash,wipe,tidy,cook,garden,A,
,radio,家务,help,housework,clean,sweep,mop,wash,wipe,tidy,cook,garden,B,
,radio,清理,help,housework,clean,sweep,mop,wash,wipe,tidy,cook,garden,C,
,radio,扫,help,housework,clean,sweep,mop,wash,wipe,tidy,cook,garden,D,
,radio,拖地,help,housework,clean,sweep,mop,wash,wipe,tidy,cook,garden,E,
,radio,洗,help,housework,clean,sweep,mop,wash,wipe,tidy,cook,garden,F,
,radio,抹,help,housework,clean,sweep,mop,wash,wipe,tidy,cook,garden,G,
,radio,整理,help,housework,clean,sweep,mop,wash,wipe,tidy,cook,garden,H,
,radio,煮,help,housework,clean,sweep,mop,wash,wipe,tidy,cook,garden,I,
,radio,花园,help,housework,clean,sweep,mop,wash,wipe,tidy,cook,garden,J,
,radio,浇水,water,plant,feed,pet,rubbish,recycle,clean,sweep,mop,wash,A,
,radio,植物,water,plant,feed,pet,rubbish,recycle,clean,sweep,mop,wash,B,
,radio,喂,water,plant,feed,pet,rubbish,recycle,clean,sweep,mop,wash,C,
,radio,宠物,water,plant,feed,pet,rubbish,recycle,clean,sweep,mop,wash,D,
,radio,垃圾,water,plant,feed,pet,rubbish,recycle,clean,sweep,mop,wash,E,
,radio,回收,water,plant,feed,pet,rubbish,recycle,clean,sweep,mop,wash,F,
