title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Celebrations,radio,鞭炮,firecracker,costume,performance,stage,audience,celebrate,occasion,blessing,surprise,memorable,A,
,radio,服装,firecracker,costume,performance,stage,audience,celebrate,occasion,blessing,surprise,memorable,B,
,radio,表演,firecracker,costume,performance,stage,audience,celebrate,occasion,blessing,surprise,memorable,C,
,radio,舞台,firecracker,costume,performance,stage,audience,celebrate,occasion,blessing,surprise,memorable,D,
,radio,观众,firecracker,costume,performance,stage,audience,celebrate,occasion,blessing,surprise,memorable,E,
,radio,庆祝,firecracker,costume,performance,stage,audience,celebrate,occasion,blessing,surprise,memorable,F,
,radio,场合,firecracker,costume,performance,stage,audience,celebrate,occasion,blessing,surprise,memorable,G,
,radio,祝福,firecracker,costume,performance,stage,audience,celebrate,occasion,blessing,surprise,memorable,H,
,radio,惊喜,firecracker,costume,performance,stage,audience,celebrate,occasion,blessing,surprise,memorable,I,
,radio,难忘的,firecracker,costume,performance,stage,audience,celebrate,occasion,blessing,surprise,memorable,J,
