title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Getting Around,radio,票,ticket,fare,journey,arrive,depart,traffic,traffic light,pedestrian,crossing,helmet,A,
,radio,车费,ticket,fare,journey,arrive,depart,traffic,traffic light,pedestrian,crossing,helmet,B,
,radio,旅程,ticket,fare,journey,arrive,depart,traffic,traffic light,pedestrian,crossing,helmet,C,
,radio,抵达,ticket,fare,journey,arrive,depart,traffic,traffic light,pedestrian,crossing,helmet,D,
,radio,出发,ticket,fare,journey,arrive,depart,traffic,traffic light,pedestrian,crossing,helmet,E,
,radio,交通,ticket,fare,journey,arrive,depart,traffic,traffic light,pedestrian,crossing,helmet,F,
,radio,交通灯,ticket,fare,journey,arrive,depart,traffic,traffic light,pedestrian,crossing,helmet,G,
,radio,行人,ticket,fare,journey,arrive,depart,traffic,traffic light,pedestrian,crossing,helmet,H,
,radio,过路处,ticket,fare,journey,arrive,depart,traffic,traffic light,pedestrian,crossing,helmet,I,
,radio,头盔,ticket,fare,journey,arrive,depart,traffic,traffic light,pedestrian,crossing,helmet,J,
,radio,安全带,seat belt,safe,dangerous,direction,traffic,traffic light,pedestrian,crossing,helmet,ticket,A,
,radio,安全的,seat belt,safe,dangerous,direction,traffic,traffic light,pedestrian,crossing,helmet,ticket,B,
,radio,危险的,seat belt,safe,dangerous,direction,traffic,traffic light,pedestrian,crossing,helmet,ticket,C,
,radio,方向,seat belt,safe,dangerous,direction,traffic,traffic light,pedestrian,crossing,helmet,ticket,D,
