title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Eating Right,radio,食物,food,drink,rice,bread,noodles,chicken,fish,egg,milk,water,A,
,radio,饮料,food,drink,rice,bread,noodles,chicken,fish,egg,milk,water,B,
,radio,饭,food,drink,rice,bread,noodles,chicken,fish,egg,milk,water,C,
,radio,面包,food,drink,rice,bread,noodles,chicken,fish,egg,milk,water,D,
,radio,面条,food,drink,rice,bread,noodles,chicken,fish,egg,milk,water,E,
,radio,鸡肉,food,drink,rice,bread,noodles,chicken,fish,egg,milk,water,F,
,radio,鱼,food,drink,rice,bread,noodles,chicken,fish,egg,milk,water,G,
,radio,蛋,food,drink,rice,bread,noodles,chicken,fish,egg,milk,water,H,
,radio,牛奶,food,drink,rice,bread,noodles,chicken,fish,egg,milk,water,I,
,radio,水,food,drink,rice,bread,noodles,chicken,fish,egg,milk,water,J,
,radio,水果,fruit,vegetable,apple,banana,orange,carrot,rice,bread,noodles,chicken,A,
,radio,蔬菜,fruit,vegetable,apple,banana,orange,carrot,rice,bread,noodles,chicken,B,
,radio,苹果,fruit,vegetable,apple,banana,orange,carrot,rice,bread,noodles,chicken,C,
,radio,香蕉,fruit,vegetable,apple,banana,orange,carrot,rice,bread,noodles,chicken,D,
,radio,橙,fruit,vegetable,apple,banana,orange,carrot,rice,bread,noodles,chicken,E,
,radio,胡萝卜,fruit,vegetable,apple,banana,orange,carrot,rice,bread,noodles,chicken,F,
