title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
In the Past,radio,假期,holiday,museum,photo,memory,ancient,history,story,diary,accident,excited,A,
,radio,博物馆,holiday,museum,photo,memory,ancient,history,story,diary,accident,excited,B,
,radio,照片,holiday,museum,photo,memory,ancient,history,story,diary,accident,excited,C,
,radio,回忆,holiday,museum,photo,memory,ancient,history,story,diary,accident,excited,D,
,radio,古老的,holiday,museum,photo,memory,ancient,history,story,diary,accident,excited,E,
,radio,历史,holiday,museum,photo,memory,ancient,history,story,diary,accident,excited,F,
,radio,故事,holiday,museum,photo,memory,ancient,history,story,diary,accident,excited,G,
,radio,日记,holiday,museum,photo,memory,ancient,history,story,diary,accident,excited,H,
,radio,意外,holiday,museum,photo,memory,ancient,history,story,diary,accident,excited,I,
,radio,兴奋的,holiday,museum,photo,memory,ancient,history,story,diary,accident,excited,J,
