title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
My Week,radio,星期 / 一周,week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,morning,afternoon,A,
,radio,星期一,week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,morning,afternoon,B,
,radio,星期二,week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,morning,afternoon,C,
,radio,星期三,week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,morning,afternoon,D,
,radio,星期四,week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,morning,afternoon,E,
,radio,星期五,week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,morning,afternoon,F,
,radio,星期六,week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,morning,afternoon,G,
,radio,星期日,week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,morning,afternoon,H,
,radio,早上,week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,morning,afternoon,I,
,radio,下午,week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,morning,afternoon,J,
,radio,傍晚,evening,night,lesson,subject,English,Mathematics,week,morning,afternoon,Wednesday,A,
,radio,晚上,evening,night,lesson,subject,English,Mathematics,week,morning,afternoon,Wednesday,B,
,radio,课,evening,night,lesson,subject,English,Mathematics,week,morning,afternoon,Wednesday,C,
,radio,科目,evening,night,lesson,subject,English,Mathematics,week,morning,afternoon,Wednesday,D,
,radio,英文,evening,night,lesson,subject,English,Mathematics,week,morning,afternoon,Wednesday,E,
,radio,数学,evening,night,lesson,subject,English,Mathematics,week,morning,afternoon,Wednesday,F,
