title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
In the Past,radio,过去,past,yesterday,last,ago,was,were,went,saw,ate,drank,A,
,radio,昨天,past,yesterday,last,ago,was,were,went,saw,ate,drank,B,
,radio,上一个/最后,past,yesterday,last,ago,was,were,went,saw,ate,drank,C,
,radio,以前,past,yesterday,last,ago,was,were,went,saw,ate,drank,D,
,radio,是/在（过去式）,past,yesterday,last,ago,was,were,went,saw,ate,drank,E,
,radio,是/在（过去式）,past,yesterday,last,ago,was,were,went,saw,ate,drank,F,
,radio,去（过去式）,past,yesterday,last,ago,was,were,went,saw,ate,drank,G,
,radio,看见（过去式）,past,yesterday,last,ago,was,were,went,saw,ate,drank,H,
,radio,吃（过去式）,past,yesterday,last,ago,was,were,went,saw,ate,drank,I,
,radio,喝（过去式）,past,yesterday,last,ago,was,were,went,saw,ate,drank,J,
,radio,玩（过去式）,played,visited,watched,listened,walked,jumped,saw,ate,drank,went,A,
,radio,拜访（过去式）,played,visited,watched,listened,walked,jumped,saw,ate,drank,went,B,
,radio,观看（过去式）,played,visited,watched,listened,walked,jumped,saw,ate,drank,went,C,
,radio,聆听（过去式）,played,visited,watched,listened,walked,jumped,saw,ate,drank,went,D,
,radio,走路（过去式）,played,visited,watched,listened,walked,jumped,saw,ate,drank,went,E,
,radio,跳（过去式）,played,visited,watched,listened,walked,jumped,saw,ate,drank,went,F,
