title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Getting Around,radio,转弯,turn,left,right,straight,near,far,opposite,beside,between,roundabout,A,
,radio,左边,turn,left,right,straight,near,far,opposite,beside,between,roundabout,B,
,radio,右边,turn,left,right,straight,near,far,opposite,beside,between,roundabout,C,
,radio,直走,turn,left,right,straight,near,far,opposite,beside,between,roundabout,D,
,radio,靠近,turn,left,right,straight,near,far,opposite,beside,between,roundabout,E,
,radio,远,turn,left,right,straight,near,far,opposite,beside,between,roundabout,F,
,radio,对面,turn,left,right,straight,near,far,opposite,beside,between,roundabout,G,
,radio,旁边,turn,left,right,straight,near,far,opposite,beside,between,roundabout,H,
,radio,之间,turn,left,right,straight,near,far,opposite,beside,between,roundabout,I,
,radio,交通圈,turn,left,right,straight,near,far,opposite,beside,between,roundabout,J,
