title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
What's the matter?,radio,药,medicine,doctor,clinic,hospital,rest,drink,sleep,healthy,unwell,symptom,A,
,radio,医生,medicine,doctor,clinic,hospital,rest,drink,sleep,healthy,unwell,symptom,B,
,radio,诊所,medicine,doctor,clinic,hospital,rest,drink,sleep,healthy,unwell,symptom,C,
,radio,医院,medicine,doctor,clinic,hospital,rest,drink,sleep,healthy,unwell,symptom,D,
,radio,休息,medicine,doctor,clinic,hospital,rest,drink,sleep,healthy,unwell,symptom,E,
,radio,喝,medicine,doctor,clinic,hospital,rest,drink,sleep,healthy,unwell,symptom,F,
,radio,睡觉,medicine,doctor,clinic,hospital,rest,drink,sleep,healthy,unwell,symptom,G,
,radio,健康的,medicine,doctor,clinic,hospital,rest,drink,sleep,healthy,unwell,symptom,H,
,radio,不舒服,medicine,doctor,clinic,hospital,rest,drink,sleep,healthy,unwell,symptom,I,
,radio,症状,medicine,doctor,clinic,hospital,rest,drink,sleep,healthy,unwell,symptom,J,
,radio,体温/温度,temperature,thermometer,appointment,patient,medicine,doctor,clinic,healthy,unwell,symptom,A,
,radio,温度计,temperature,thermometer,appointment,patient,medicine,doctor,clinic,healthy,unwell,symptom,B,
,radio,预约,temperature,thermometer,appointment,patient,medicine,doctor,clinic,healthy,unwell,symptom,C,
,radio,病人,temperature,thermometer,appointment,patient,medicine,doctor,clinic,healthy,unwell,symptom,D,
